VCD info: dumpfile FIFO_tb.vcd opened for output.


|-------------------- MULTI-WRITE TEST --------------------|
|w_e|r_e|rst|d_in||Dout|v|cnt|o_f|u_f|f|n_f|n_e|e|wr_p|rd_p|
|---|---|---|----||----|-|---|---|---|-|---|---|-|----|----|
| x | x | 0 | xx || 00 |0| 00| 0 | 0 |0| 0 | 0 |1| 00 | 00 |
| 1 | 0 | 1 | 00 || 00 |0| 00| 0 | 0 |0| 0 | 0 |1| 00 | 00 |
| 1 | 0 | 1 | 01 || 00 |0| 01| 0 | 0 |0| 0 | 1 |0| 01 | 00 |
| 1 | 0 | 1 | 02 || 00 |0| 02| 0 | 0 |0| 0 | 1 |0| 02 | 00 |
| 1 | 0 | 1 | 03 || 00 |0| 03| 0 | 0 |0| 0 | 0 |0| 03 | 00 |
| 1 | 0 | 1 | 04 || 00 |0| 04| 0 | 0 |0| 0 | 0 |0| 04 | 00 |
| 1 | 0 | 1 | 05 || 00 |0| 05| 0 | 0 |0| 0 | 0 |0| 05 | 00 |
| 1 | 0 | 1 | 06 || 00 |0| 06| 0 | 0 |0| 0 | 0 |0| 06 | 00 |
| 1 | 0 | 1 | 07 || 00 |0| 07| 0 | 0 |0| 0 | 0 |0| 07 | 00 |
| 1 | 0 | 1 | 08 || 00 |0| 08| 0 | 0 |0| 0 | 0 |0| 08 | 00 |
| 1 | 0 | 1 | 09 || 00 |0| 09| 0 | 0 |0| 0 | 0 |0| 09 | 00 |
| 1 | 0 | 1 | 0a || 00 |0| 0a| 0 | 0 |0| 0 | 0 |0| 0a | 00 |
| 1 | 0 | 1 | 0b || 00 |0| 0b| 0 | 0 |0| 0 | 0 |0| 0b | 00 |
| 1 | 0 | 1 | 0c || 00 |0| 0c| 0 | 0 |0| 0 | 0 |0| 0c | 00 |
| 1 | 0 | 1 | 0d || 00 |0| 0d| 0 | 0 |0| 0 | 0 |0| 0d | 00 |
| 1 | 0 | 1 | 0e || 00 |0| 0e| 0 | 0 |0| 0 | 0 |0| 0e | 00 |
| 1 | 0 | 1 | 0f || 00 |0| 0f| 0 | 0 |0| 0 | 0 |0| 0f | 00 |
| 1 | 0 | 1 | 10 || 00 |0| 10| 0 | 0 |0| 0 | 0 |0| 10 | 00 |
| 1 | 0 | 1 | 11 || 00 |0| 11| 0 | 0 |0| 0 | 0 |0| 11 | 00 |
| 1 | 0 | 1 | 12 || 00 |0| 12| 0 | 0 |0| 0 | 0 |0| 12 | 00 |
| 1 | 0 | 1 | 13 || 00 |0| 13| 0 | 0 |0| 0 | 0 |0| 13 | 00 |
| 1 | 0 | 1 | 14 || 00 |0| 14| 0 | 0 |0| 0 | 0 |0| 14 | 00 |
| 1 | 0 | 1 | 15 || 00 |0| 15| 0 | 0 |0| 0 | 0 |0| 15 | 00 |
| 1 | 0 | 1 | 16 || 00 |0| 16| 0 | 0 |0| 0 | 0 |0| 16 | 00 |
| 1 | 0 | 1 | 17 || 00 |0| 17| 0 | 0 |0| 0 | 0 |0| 17 | 00 |
| 1 | 0 | 1 | 18 || 00 |0| 18| 0 | 0 |0| 0 | 0 |0| 18 | 00 |
| 1 | 0 | 1 | 19 || 00 |0| 19| 0 | 0 |0| 0 | 0 |0| 19 | 00 |
| 1 | 0 | 1 | 1a || 00 |0| 1a| 0 | 0 |0| 0 | 0 |0| 1a | 00 |
| 1 | 0 | 1 | 1b || 00 |0| 1b| 0 | 0 |0| 0 | 0 |0| 1b | 00 |
| 1 | 0 | 1 | 1c || 00 |0| 1c| 0 | 0 |0| 0 | 0 |0| 1c | 00 |
| 1 | 0 | 1 | 1d || 00 |0| 1d| 0 | 0 |0| 1 | 0 |0| 1d | 00 |
| 1 | 0 | 1 | 1e || 00 |0| 1e| 0 | 0 |0| 1 | 0 |0| 1e | 00 |
| 1 | 0 | 1 | 1f || 00 |0| 1f| 0 | 0 |1| 0 | 0 |0| 1f | 00 |
| 1 | 0 | 1 | 1f || 00 |0| 1f| 1 | 0 |1| 0 | 0 |0| 1f | 00 |


|-------------------- MULTI-READ TEST ---------------------|
|w_e|r_e|rst|d_in||Dout|v|cnt|o_f|u_f|f|n_f|n_e|e|wr_p|rd_p|
